Date;SP/GOLD;MM7
01/01/1975;0,436765957;1,844946298
01/02/1975;0,448913343;1,823899794
01/03/1975;0,468973277;1,802844022
01/04/1975;0,521505376;1,779378811
01/05/1975;0,543368107;1,757876957
01/06/1975;0,573433735;1,735754192
01/07/1975;0,533353365;1,712191774
01/08/1975;0,537956656;1,689062651
01/09/1975;0,606654611;1,665497276
01/10/1975;0,620920502;1,641484304
01/11/1975;0,659963834;1,616966636
01/12/1975;0,643065954;1,59514832
01/01/1976;0,78796875;1,575708465
01/02/1976;0,753665911;1,557373191
01/03/1976;0,793590734;1,538782361
01/04/1976;0,793133047;1,519912386
01/05/1976;0,799840319;1,500890455
01/06/1976;0,842326333;1,482705336
01/07/1976;0,920284698;1,467286817
01/08/1976;0,998641436;1,451409257
01/09/1976;0,906459948;1,434929317
01/10/1976;0,841373671;1,415932107
01/11/1976;0,784780938;1,393860231
01/12/1976;0,798662207;1,372241946
01/01/1977;0,772369417;1,352501918
01/02/1977;0,70172232;1,330413579
01/03/1977;0,657009346;1,308007815
01/04/1977;0,671945392;1,288936699
01/05/1977;0,67122905;1,271256831
01/06/1977;0,702903113;1,255245274
01/07/1977;0,684083045;1,237059659
01/08/1977;0,662808219;1,217826807
01/09/1977;0,627225471;1,197601409
01/10/1977;0,574253731;1,177938527
01/11/1977;0,593429287;1,157394245
01/12/1977;0,574275362;1,134882975
01/01/1978;0,509417808;1,110909879
01/02/1978;0,478241758;1,086910381
01/03/1978;0,493554633;1,06200854
01/04/1978;0,569588235;1,037539353
01/05/1978;0,525905895;1,014729759
01/06/1978;0,521451965;0,991708665
01/07/1978;0,506184012;0,970948951
01/08/1978;0,498263386;0,948126302
01/09/1978;0,47155668;0,926180885
01/10/1978;0,382310692;0,904274992
01/11/1978;0,488900361;0,884402271
01/12/1978;0,428106904;0,861559537
01/01/1979;0,428792105;0,840308913
01/02/1979;0,383738541;0,818664616
01/03/1979;0,423909869;0,79733269
01/04/1979;0,417991374;0,776414117
01/05/1979;0,357495941;0,758681343
01/06/1979;0,372255381;0,743214731
01/07/1979;0,351481293;0,728843845
01/08/1979;0,34404406;0,713141703
01/09/1979;0,275365239;0,695888325
01/10/1979;0,268123766;0,678463585
01/11/1979;0,254458293;0,659654351
01/12/1979;0,205992366;0,64038551
01/01/1980;0,170898204;0,621491081
01/02/1980;0,17759375;0,608018846
01/03/1980;0,202861401;0,595723403
01/04/1980;0,204699085;0,584120028
01/05/1980;0,209333835;0,575700265
01/06/1980;0,172437736;0,56770297
01/07/1980;0,196877023;0,558863295
01/08/1980;0,193104536;0,549228779
01/09/1980;0,187253731;0,538581848
01/10/1980;0,200424528;0,527711641
01/11/1980;0,22609815;0,519007965
01/12/1980;0,230296862;0,511403852
01/01/1981;0,255270936;0,505815078
01/02/1981;0,267761346;0,502244742
01/03/1981;0,26446281;0,498926001
01/04/1981;0,276112266;0,495832524
01/05/1981;0,276950392;0,49249027
01/06/1981;0,311293001;0,489219584
01/07/1981;0,32305984;0,486934582
01/08/1981;0,288578143;0,484837485
01/09/1981;0,272403283;0,482952052
01/10/1981;0,284125874;0,481047472
01/11/1981;0,304091456;0,480090816
01/12/1981;0,306375;0,479385122
01/01/1982;0,310109466;0,477877306
01/02/1982;0,311383345;0,476240044
01/03/1982;0,349329173;0,47481571
01/04/1982;0,32639103;0,47249292
01/05/1982;0,343717358;0,470116125
01/06/1982;0,349076433;0,467445205
01/07/1982;0,312671533;0,46481804
01/08/1982;0,291772461;0,461887276
01/09/1982;0,305053832;0,458296791
01/10/1982;0,316872038;0,454677166
01/11/1982;0,323479276;0,450671398
01/12/1982;0,313928571;0,446753095
01/01/1983;0,288866799;0,440811405
01/02/1983;0,35273377;0,436038404
01/03/1983;0,369245625;0,430986676
01/04/1983;0,383733956;0,426112878
01/05/1983;0,369908884;0,420994646
01/06/1983;0,402255549;0,415755708
01/07/1983;0,384985198;0,409383095
01/08/1983;0,396622437;0,402216202
01/09/1983;0,411064356;0,396318636
01/10/1983;0,426466754;0,391379268
01/11/1983;0,410104744;0,386918837
01/12/1983;0,43231979;0,382557618
01/01/1984;0,43939231;0,378593604
01/02/1984;0,396016137;0,374954245
01/03/1984;0,40972973;0,37201044
01/04/1984;0,425438596;0,369075835
01/05/1984;0,392619638;0,365759057
01/06/1984;0,408207861;0,36225078
01/07/1984;0,441042155;0,359357436
01/08/1984;0,479378775;0,357173752
01/09/1984;0,482638384;0,355452477
01/10/1984;0,496532138;0,35452722
01/11/1984;0,497808886;0,353388882
01/12/1984;0,541229773;0,352995482
01/01/1985;0,589143982;0,353944603
01/02/1985;0,623683305;0,35567605
01/03/1985;0,547786537;0,356321668
01/04/1985;0,553919606;0,356135137
01/05/1985;0,605300974;0,357080316
01/06/1985;0,606161137;0,358088759
01/07/1985;0,581895763;0,358990089
01/08/1985;0,561816828;0,359746678
01/09/1985;0,557672282;0,360771864
01/10/1985;0,582716807;0,363157651
01/11/1985;0,617501527;0,364688617
01/12/1985;0,646116208;0,367283966
01/01/1986;0,598248588;0,369301305
01/02/1986;0,670864745;0,372719474
01/03/1986;0,69146165;0,375904614
01/04/1986;0,683161711;0,379061404
01/05/1986;0,720401922;0,383381713
01/06/1986;0,72602026;0,3875932
01/07/1986;0,660013976;0,391266208
01/08/1986;0,655259067;0,394971149
01/09/1986;0,549192783;0,398231
01/10/1986;0,607671233;0,402273232
01/11/1986;0,639025641;0,406851415
01/12/1986;0,619519059;0,411774352
01/01/1987;0,672919224;0,417750792
01/02/1987;0,7004313;0,423975049
01/03/1987;0,696181384;0,429847906
01/04/1987;0,634455446;0,434964053
01/05/1987;0,642169341;0,440116857
01/06/1987;0,679937374;0,446158519
01/07/1987;0,686397415;0,451986143
01/08/1987;0,723404255;0,458299235
01/09/1987;0,700925623;0,464414376
01/10/1987;0,538012821;0,468433284
01/11/1987;0,466288722;0,471292696
01/12/1987;0,507872559;0,474597169
01/01/1988;0,552541644;0,478136106
01/02/1988;0,632023599;0,482472561
01/03/1988;0,565262009;0,486053504
01/04/1988;0,581056142;0,489683788
01/05/1988;0,577444934;0,493261104
01/06/1988;0,626073023;0,497008485
01/07/1988;0,628657268;0,50064655
01/08/1988;0,613392752;0,50451339
01/09/1988;0,686381421;0,509441702
01/10/1988;0,676618967;0,514114238
01/11/1988;0,649655827;0,5182281
01/12/1988;0,677118128;0,522641709
01/01/1989;0,753374699;0,527918676
01/02/1989;0,746890756;0,533103288
